,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
348842,jTgA8mrd/,jTgA8mrd54,54,55,"Goal!  Rayo Vallecano 2, Real Madrid 3. Jonathan Viera (Rayo Vallecano) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Rayo Vallecano,Real Madrid,jonathan viera,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
349518,rwBW7p85/,rwBW7p85104,104,90,"Goal!  Evian Thonon Gaillard 2, Toulouse 1. CA©dric Mongongu (Evian Thonon Gaillard) converts the penalty with a right footed shot to the top left corner.",1,,1,Evian Thonon Gaillard,Toulouse,cedric mongongu,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
350115,2iTYvQLk/,2iTYvQLk66,66,52,"Goal!  Sampdoria 1, Sassuolo 2. Domenico Berardi (Sassuolo) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Sassuolo,Sampdoria,domenico berardi,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
350159,2iTYvQLk/,2iTYvQLk110,110,88,"Goal!  Sampdoria 3, Sassuolo 4. Domenico Berardi (Sassuolo) converts the penalty with a left footed shot to the centre of the goal.",1,,2,Sassuolo,Sampdoria,domenico berardi,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
350349,bJpjmlE9/,bJpjmlE980,80,71,"Goal!  Lazio 0, Genoa 2. Alberto Gilardino (Genoa) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Genoa,Lazio,alberto gilardino,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
350394,bVEVFVkM/,bVEVFVkM15,15,25,"Penalty saved! Nabil El Zhar (Levante) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,1,Levante,Granada,nabil el zhar,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
350569,CI2m427U/,CI2m427U82,82,77,"Goal!  Nice 1, Bordeaux 2. Dario Cvitanich (Nice) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Nice,Bordeaux,dario cvitanich,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
350815,jkTIjhPR/,jkTIjhPR32,32,20,"Goal!  SV Werder Bremen 0, Hannover 96 1. Szabolcs Huszti (Hannover 96) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Hannover 96,Werder Bremen,szabolcs huszti,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
350820,jkTIjhPR/,jkTIjhPR37,37,25,"Goal!  SV Werder Bremen 1, Hannover 96 1. Aaron Hunt (SV Werder Bremen) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Werder Bremen,Hannover 96,aaron hunt,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
350999,lQ8gpj2e/,lQ8gpj2e70,70,59,"Goal!  FC Augsburg 2, 1. FSV Mainz 05 1. Eric Maxim Choupo-Moting (1. FSV Mainz 05) converts the penalty with a right footed shot to the top left corner.",1,,2,Mainz,FC Augsburg,eric maxim choupomoting,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
