,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
826860,GGhNOIFn/,GGhNOIFn48,48,56,"Goal!  Nice 2, Reims 0. Hatem Ben Arfa (Nice) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Nice,Stade de Reims,hatem ben arfa,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
827256,bk7Z4VSC/,bk7Z4VSC32,32,45,"Goal!  Manchester City 2, Stoke City 0. Sergio Aguero (Manchester City) converts the penalty with a right footed shot to the top left corner.",1,,1,Manchester City,Stoke City,sergio aguero,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
828040,QyuIZFIo/,QyuIZFIo5,5,5,"Penalty saved! Klaas-Jan Huntelaar (FC Schalke 04) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Schalke 04,Bayer Leverkusen,klaasjan huntelaar,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
828232,Sn2UfZFh/,Sn2UfZFh67,67,74,"Goal!  Barcelona 3, Sporting de GijA³n 0. Luis SuA¡rez (Barcelona) converts the penalty with a right footed shot to the top right corner.",1,,1,Barcelona,Sporting Gijon,luis suarez,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
828237,Sn2UfZFh/,Sn2UfZFh72,72,77,"Goal!  Barcelona 4, Sporting de GijA³n 0. Luis SuA¡rez (Barcelona) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Barcelona,Sporting Gijon,luis suarez,,,,,1.0,1,14.0,1.0,0,2.0,0
828246,Sn2UfZFh/,Sn2UfZFh81,81,85,"Goal!  Barcelona 5, Sporting de GijA³n 0. Neymar (Barcelona) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Barcelona,Sporting Gijon,neymar,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
828817,4xT85eFO/,4xT85eFO71,71,63,"Goal!  GFC Ajaccio 3, Bastia 1. Mohamed Larbi (GFC Ajaccio) converts the penalty with a right footed shot to the bottom right corner.",1,,1,GFC Ajaccio,Bastia,mohamed larbi,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
829240,E1yF6oD8/,E1yF6oD885,85,90,"Penalty saved! Nikola Kalinic (Fiorentina) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Fiorentina,Juventus,nikola kalinic,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
829936,QueKp4jk/,QueKp4jk39,39,44,"Penalty saved! Antonio Candreva (Lazio) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Lazio,Sampdoria,antonio candreva,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
830521,25fshXaB/,25fshXaB18,18,16,"Goal!  Celta de Vigo 1, Granada CF 0. Iago Aspas (Celta de Vigo) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Celta Vigo,Granada,iago aspas,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
831001,neqTrrL1/,neqTrrL196,96,72,"Goal!  Verona 1, Milan 1. Giampaolo Pazzini (Verona) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Hellas Verona,AC Milan,giampaolo pazzini,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
831523,0zRiPM0e/,0zRiPM0e17,17,20,"Penalty saved! Sandro Wagner (SV Darmstadt 98) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,SV Darmstadt 98,Eintracht Frankfurt,sandro wagner,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
831808,b9ZKGSRO/,b9ZKGSRO89,89,90,"Goal!  Stoke City 1, Sunderland 1. Jermain Defoe (Sunderland) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Sunderland,Stoke City,jermain defoe,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
832450,hMmnJEqO/,hMmnJEqO8,8,5,"Penalty saved! Wissam Ben Yedder (Toulouse) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Toulouse,St Etienne,wissam ben yedder,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
832616,j76kIYbU/,j76kIYbU61,61,56,"Goal!  Troyes 1, Bordeaux 2. Benjamin Nivet (Troyes) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Troyes,Bordeaux,benjamin nivet,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
832710,jqWCIlcC/,jqWCIlcC57,57,70,"Penalty saved! Yohan Cabaye (Crystal Palace) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,2,Crystal Palace,Newcastle,yohan cabaye,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
833737,vLxqRrWr/,vLxqRrWr62,62,53,"Penalty saved! Andrej Kramaric (1899 Hoffenheim) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,TSG Hoffenheim,FC Ingolstadt 04,andrej kramaric,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
834550,Gjam3XND/,Gjam3XND87,87,84,"Goal!  Lazio 2, Inter Milan 0. Antonio Candreva (Lazio) converts the penalty with a right footed shot to the top left corner.",1,,1,Lazio,Internazionale,antonio candreva,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
834921,Q1Wfcsze/,Q1Wfcsze84,84,48,"Penalty saved! Mario Balotelli (Milan) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,AC Milan,Frosinone,mario balotelli,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
834975,Q1Wfcsze/,Q1Wfcsze138,138,90,"Goal!  Milan 3, Frosinone 3. JA©rA©my Menez (Milan) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AC Milan,Frosinone,jeremy menez,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
835363,xSSjHD9t/,xSSjHD9t32,32,38,"Goal!  Athletic Club 1, Celta de Vigo 1. Aduriz (Athletic Club) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Athletic Bilbao,Celta Vigo,aduriz,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
836088,25Mut1MH/,25Mut1MH41,41,40,"Goal!  Bologna 0, Milan 1. Carlos Bacca (Milan) converts the penalty with a right footed shot to the top left corner.",1,,2,AC Milan,Bologna,carlos bacca,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
837440,G0YwXmC5/,G0YwXmC560,60,67,"Goal!  Leicester City 3, Everton 0. Jamie Vardy (Leicester City) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Leicester City,Everton,jamie vardy,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
837450,G0YwXmC5/,G0YwXmC570,70,74,Penalty missed! Bad penalty by Jamie Vardy (Leicester City) right footed shot is too high. Jamie Vardy should be disappointed.,1,,1,Leicester City,Everton,jamie vardy,,,,10.0,2.0,0,14.0,1.0,0,2.0,0
837805,lKoVxtVf/,lKoVxtVf11,11,15,"Goal!  FC Ingolstadt 04 0, FC Bayern Munchen 1. Robert Lewandowski (FC Bayern Munchen) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Bayern Munich,FC Ingolstadt 04,robert lewandowski,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
837836,lKoVxtVf/,lKoVxtVf42,42,42,"Goal!  FC Ingolstadt 04 1, FC Bayern Munchen 2. Moritz Hartmann (FC Ingolstadt 04) converts the penalty with a right footed shot to the bottom left corner.",1,,1,FC Ingolstadt 04,Bayern Munich,moritz hartmann,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
838407,Wd4ZZkSn/,Wd4ZZkSn31,31,45,"Penalty saved! Craig Gardner (West Bromwich Albion) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,West Brom,Bournemouth,craig gardner,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
838477,WQROWXDN/,WQROWXDN33,33,45,"Goal!  Nantes 0, Caen 2. Andy Delort (Caen) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Caen,Nantes,andy delort,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
838565,WtGnnDDA/,WtGnnDDA41,41,50,"Penalty missed! Still  Bastia 1, Angers 0. Thomas Mangani (Angers) hits the bar with a left footed shot.",1,,2,Angers,Bastia,thomas mangani,,,,7.0,4.0,0,14.0,2.0,0,2.0,0
838911,0f1gaOMu/,0f1gaOMu48,48,43,"Goal!  Verona 1, Juventus 0. Luca Toni (Verona) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Hellas Verona,Juventus,luca toni,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
838982,0f1gaOMu/,0f1gaOMu119,119,90,"Goal!  Verona 2, Juventus 1. Paulo Dybala (Juventus) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Juventus,Hellas Verona,paulo dybala,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
839867,GY3xCn8s/,GY3xCn8s92,92,86,"Goal!  Sevilla 1, Granada CF 3. Youssef El-Arabi (Granada CF) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Granada,Sevilla,youssef elarabi,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
840448,pUBpuLyO/,pUBpuLyO13,13,12,"Penalty saved! Jerry Mbakogu (Carpi) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Carpi,Lazio,jerry mbakogu,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
840489,pUBpuLyO/,pUBpuLyO54,54,41,"Penalty saved! Jerry Mbakogu (Carpi) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,1,Carpi,Lazio,jerry mbakogu,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
840760,vo0cbrxn/,vo0cbrxn11,11,19,"Goal!  Atalanta 1, Udinese 1. Gianpaolo Bellini (Atalanta) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Atalanta,Udinese,gianpaolo bellini,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
841517,4KZEY0mA/,4KZEY0mA46,46,45,"Goal!  Everton 2, Norwich City 0. Leighton Baines (Everton) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Everton,Norwich City,leighton baines,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
841883,f9SRVbXS/,f9SRVbXS73,73,77,"Goal!  Southampton 3, Crystal Palace 1. Ryan Bertrand (Southampton) converts the penalty with a left footed shot to the top left corner.",1,,1,Southampton,Crystal Palace,ryan bertrand,,,,12.0,1.0,1,14.0,2.0,0,2.0,0
841976,hpWAZtY3/,hpWAZtY373,73,69,"Goal!  Chelsea 1, Leicester City 0. Cesc Fabregas (Chelsea) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Chelsea,Leicester City,cesc fabregas,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
842050,juEcQxej/,juEcQxej52,52,62,"Goal!  Watford 2, Sunderland 2. Troy Deeney (Watford) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Watford,Sunderland,troy deeney,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
842235,xYXMWvIM/,xYXMWvIM63,63,75,"Goal!  Newcastle United 3, Tottenham Hotspur 1. Georginio Wijnaldum (Newcastle United) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Newcastle,Tottenham,georginio wijnaldum,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
842501,OAqkOhZJ/,OAqkOhZJ74,74,71,"Goal!  Monaco 1, Guingamp 2. Fabinho (Monaco) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AS Monaco,Guingamp,fabinho,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
842551,21rgNClQ/,21rgNClQ16,16,19,"Goal!  Caen 0, Lorient 2. Benjamin Moukandjo (Lorient) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Lorient,Caen,benjamin moukandjo,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
842868,8rLLIWds/,8rLLIWds70,70,76,"Goal!  Metz 2, Lille 2. Mevlut Erdinc (Metz) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Metz,Lille,mevlut erdinc,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
842885,8rLLIWds/,8rLLIWds87,87,88,"Goal!  Metz 3, Lille 2. Yann Jouffre (Metz) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Metz,Lille,yann jouffre,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
842896,bgczNz0n/,bgczNz0n9,9,4,"Goal!  Manchester City 1, Sunderland 0. Sergio Aguero (Manchester City) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Manchester City,Sunderland,sergio aguero,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
843153,K2bWNGpt/,K2bWNGpt48,48,47,"Goal!  Hull City 1, Leicester City 1. Riyad Mahrez (Leicester City) converts the penalty with a left footed shot to the centre of the goal.",1,,2,Leicester City,Hull,riyad mahrez,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
843893,Cdy57e0a/,Cdy57e0a30,30,30,"Penalty saved! Theo Walcott (Arsenal) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Arsenal,Liverpool,theo walcott,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
844193,nFTH4gpI/,nFTH4gpI48,48,47,"Goal!  Chelsea 1, West Ham United 0. Eden Hazard (Chelsea) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Chelsea,West Ham,eden hazard,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
844280,A7HxFld6/,A7HxFld628,28,31,"Goal!  Lyon 1, Caen 0. Alexandre Lacazette (Lyon) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lyon,Caen,alexandre lacazette,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
844367,A7HxFld6/,A7HxFld6115,115,96,"Goal!  Lyon 2, Caen 0. Alexandre Lacazette (Lyon) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lyon,Caen,alexandre lacazette,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
844576,t81J3Mv9/,t81J3Mv9104,104,87,"Goal!  Deportivo de La Coruna 2, Eibar 1. Lucas Perez (Deportivo de La Coruna) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Deportivo La Coruna,Eibar,lucas perez,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
844623,YViaHWTN/,YViaHWTN41,41,52,"Goal!  Manchester United 2, Southampton 0. Zlatan Ibrahimovic (Manchester United) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Manchester Utd,Southampton,zlatan ibrahimovic,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
844708,0dpVKvpP/,0dpVKvpP50,50,58,"Penalty missed! Bad penalty by Antony Robic (Nancy) right footed shot is close, but misses to the right. Antony Robic should be disappointed.",1,,2,AS Nancy Lorraine,Stade Rennes,antony robic,,,,9.0,2.0,0,14.0,1.0,0,2.0,0
845309,ddDs98e5/,ddDs98e574,74,65,"Goal!  Roma 1, Udinese 0. Diego Perotti (Roma) converts the penalty with a right footed shot to the bottom right corner.",1,,1,AS Roma,Udinese,diego perotti,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
845322,ddDs98e5/,ddDs98e587,87,75,"Goal!  Roma 2, Udinese 0. Diego Perotti (Roma) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AS Roma,Udinese,diego perotti,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
845499,EuOTGARg/,EuOTGARg59,59,62,"Penalty saved! Enzo Crivelli (Bastia) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Bastia,Lorient,enzo crivelli,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
845751,Gfs4GjqU/,Gfs4GjqU30,30,27,"Goal!  Stoke City 0, Manchester City 1. Sergio Aguero (Manchester City) converts the penalty with a right footed shot to the top left corner.",1,,2,Manchester City,Stoke City,sergio aguero,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
845781,Gfs4GjqU/,Gfs4GjqU60,60,49,"Goal!  Stoke City 1, Manchester City 2. Bojan (Stoke City) converts the penalty with a right footed shot to the top right corner.",1,,1,Stoke City,Manchester City,bojan,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
846508,2H2F42P2/,2H2F42P2109,109,93,"Goal!  Atletico de Madrid 1, Alaves 0. Kevin Gameiro (Atletico de Madrid) converts the penalty with a right footed shot to the top left corner.",1,,1,Atletico Madrid,Alaves,kevin gameiro,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
847605,lEEXuJn2/,lEEXuJn264,64,61,"Penalty saved! Isma Lopez (Sporting de Gijon) fails to capitalise on this great opportunity,  left footed shot saved  in the top centre of the goal.",1,,1,Sporting Gijon,Athletic Bilbao,isma lopez,,,,11.0,1.0,0,14.0,2.0,0,2.0,0
847870,Q7ZbHWmP/,Q7ZbHWmP36,36,31,"Goal!  Palermo 0, Sassuolo 1. Domenico Berardi (Sassuolo) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Sassuolo,Palermo,domenico berardi,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
848035,SGLQCjdt/,SGLQCjdt80,80,62,"Goal!  Milan 3, Torino 1. Carlos Bacca (Milan) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,AC Milan,Torino,carlos bacca,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
848088,SGLQCjdt/,SGLQCjdt133,133,96,"Penalty saved! Andrea Belotti (Torino) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Torino,AC Milan,andrea belotti,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
848119,0AHK109L/,0AHK109L31,31,24,"Goal!  Valencia 1, Las Palmas 2. Jonathan Viera (Las Palmas) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,Las Palmas,Valencia,jonathan viera,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
848596,Qesux5oK/,Qesux5oK64,64,77,"Goal!  FC Bayern Munchen 6, SV Werder Bremen 0. Robert Lewandowski (FC Bayern Munchen) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Bayern Munich,Werder Bremen,robert lewandowski,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
848911,bmfQVVrH/,bmfQVVrH21,21,16,"Penalty saved! Yohan Cabaye (Crystal Palace) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Crystal Palace,Bournemouth,yohan cabaye,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
849023,ETFU8YjU/,ETFU8YjU21,21,24,"Goal!  Dijon 1, Lyon 1. Frederic Sammaritano (Dijon) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Dijon FCO,Lyon,frederic sammaritano,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
849242,GpIke7TP/,GpIke7TP50,50,56,"Penalty saved! Riyad Mahrez (Leicester City) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom left corner.",1,,1,Leicester City,Swansea,riyad mahrez,,,,3.0,1.0,0,14.0,2.0,0,2.0,0
849442,IoG36wDt/,IoG36wDt66,66,62,"Penalty saved! Pedro Leon (Eibar) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Eibar,Valencia,pedro leon,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
849848,lMU4ExNh/,lMU4ExNh92,92,94,"Penalty missed! Bad penalty by Youssouf Hadji (Nancy) right footed shot is close, but misses to the left. Youssouf Hadji should be disappointed.",1,,1,AS Nancy Lorraine,Guingamp,youssouf hadji,,,,8.0,2.0,0,14.0,1.0,0,2.0,0
849884,lzAwTyxn/,lzAwTyxn36,36,43,"Penalty saved! Ivan Santini (Caen) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Caen,Bastia,ivan santini,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
850367,ptOBWr9s/,ptOBWr9s97,97,94,"Goal!  Borussia Dortmund 2, 1. FSV Mainz 05 0. Pierre-Emerick Aubameyang (Borussia Dortmund) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Borussia Dortmund,Mainz,pierreemerick aubameyang,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
850444,Q1A6B1c2/,Q1A6B1c275,75,80,"Goal!  Southampton 0, Sunderland 1. Jermain Defoe (Sunderland) converts the penalty with a right footed shot to the top left corner.",1,,2,Sunderland,Southampton,jermain defoe,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
850569,tAviJDG8/,tAviJDG85,5,9,"Goal!  Watford 0, Arsenal 1. Santiago Cazorla (Arsenal) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Arsenal,Watford,santiago cazorla,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
850721,UZzmKg12/,UZzmKg1248,48,43,"Goal!  Tottenham Hotspur 0, Liverpool 1. James Milner (Liverpool) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Liverpool,Tottenham,james milner,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
850940,vo8fE3Dq/,vo8fE3Dq55,55,51,"Penalty saved! Leighton Baines (Everton) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,1,Everton,Stoke City,leighton baines,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
851251,Y1fgE1gD/,Y1fgE1gD63,63,68,"Penalty saved! Alexander Meier (Eintracht Frankfurt) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Eintracht Frankfurt,Schalke 04,alexander meier,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
851293,0lWTK5fH/,0lWTK5fH6,6,6,"Goal!  Cagliari 0, Roma 1. Diego Perotti (Roma) converts the penalty with a right footed shot to the bottom left corner.",1,,2,AS Roma,Cagliari,diego perotti,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
851670,6RWPLouB/,6RWPLouB88,88,83,"Penalty saved! Andrea Belotti (Torino) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Torino,Bologna,andrea belotti,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
852263,jkizUHMu/,jkizUHMu39,39,45,"Goal!  Monaco 2, Paris Saint Germain 0. Fabinho (Monaco) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AS Monaco,Paris Saint-Germain,fabinho,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
852757,vuVXJP9N/,vuVXJP9N35,35,35,"Goal!  Sampdoria 1, Atalanta 1. Fabio Quagliarella (Sampdoria) converts the penalty with a right footed shot to the top right corner.",1,,1,Sampdoria,Atalanta,fabio quagliarella,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
853256,0viaODjH/,0viaODjH50,50,67,"Goal!  Paris Saint Germain 1, St Etienne 0. Lucas Moura (Paris Saint Germain) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Paris Saint-Germain,St Etienne,lucas moura,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
854161,Aw2dLG8B/,Aw2dLG8B93,93,72,"Penalty saved! Roberto Torres (Osasuna) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Osasuna,Real Madrid,roberto torres,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
854612,df48IEhU/,df48IEhU103,103,93,"Goal!  Sevilla 1, Las Palmas 1. Pablo Sarabia (Sevilla) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Sevilla,Las Palmas,pablo sarabia,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
854974,KCVNTtg0/,KCVNTtg089,89,88,"Goal!  Sport-Club Freiburg 3, Borussia Monchengladbach 1. Nils Petersen (Sport-Club Freiburg) converts the penalty with a right footed shot to the bottom left corner.",1,,1,SC Freiburg,Borussia Monchengladbach,nils petersen,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
855010,lpkOZFN4/,lpkOZFN428,28,40,"Penalty saved! Bruno (Villarreal) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,2,Villarreal,Malaga,bruno,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
856021,WbX3GB0R/,WbX3GB0R86,86,94,"Goal!  Arsenal 2, Southampton 1. Santiago Cazorla (Arsenal) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Arsenal,Southampton,santiago cazorla,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
856136,6LaJzd8b/,6LaJzd8b33,33,43,"Goal!  Sporting de Gijon 2, Leganes 0. Duje Cop (Sporting de Gijon) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Sporting Gijon,Leganes,duje cop,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
856438,dCsr3Fuq/,dCsr3Fuq118,118,93,"Goal!  Roma 3, Sampdoria 2. Francesco Totti (Roma) converts the penalty with a right footed shot to the bottom right corner.",1,,1,AS Roma,Sampdoria,francesco totti,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
856563,IF1fPgyB/,IF1fPgyB12,12,7,"Goal!  Nice 1, Marseille 0. Mario Balotelli (Nice) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Nice,Marseille,mario balotelli,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
856628,IF1fPgyB/,IF1fPgyB77,77,72,"Goal!  Nice 1, Marseille 2. Bafetimbi Gomis (Marseille) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,Marseille,Nice,bafetimbi gomis,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
856834,MRfIjRys/,MRfIjRys81,81,59,"Goal!  Swansea City 1, Chelsea 1. Gylfi Sigurdsson (Swansea City) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Swansea,Chelsea,gylfi sigurdsson,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
857046,pMNBT8Sd/,pMNBT8Sd91,91,78,"Goal!  Nantes 0, Metz 3. Mevlut Erdinc (Metz) converts the penalty with a right footed shot to the top right corner.",1,,2,Metz,Nantes,mevlut erdinc,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
857231,QTjC8yIL/,QTjC8yIL108,108,82,"Goal!  Atalanta 2, Torino 1. Franck Kessie (Atalanta) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Atalanta,Torino,franck kessie,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
857724,xltJUMwf/,xltJUMwf56,56,45,"Goal!  SV Werder Bremen 1, FC Augsburg 0. Aron Johannsson (SV Werder Bremen) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Werder Bremen,FC Augsburg,aron johannsson,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
858204,S4u2vQtF/,S4u2vQtF19,19,23,"Goal!  Caen 0, Paris Saint Germain 2. Edinson Cavani (Paris Saint Germain) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Paris Saint-Germain,Caen,edinson cavani,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
858462,YZFaGRMq/,YZFaGRMq99,99,79,"Penalty saved! Ezequiel Ponce (Granada CF) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Granada,Real Betis,ezequiel ponce,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
858522,0rwDO8hl/,0rwDO8hl37,37,41,"Penalty saved! Alexis Sanchez (Arsenal) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Arsenal,Hull,alexis sanchez,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
858562,0rwDO8hl/,0rwDO8hl77,77,79,"Goal!  Hull City 1, Arsenal 2. Robert Snodgrass (Hull City) converts the penalty with a left footed shot to the top left corner.",1,,1,Hull,Arsenal,robert snodgrass,,,,12.0,1.0,1,14.0,2.0,0,2.0,0
