time,number,latitude,longitude,u10,v10,t2m,d2m,tp
2023-04-01 12:00:00,16,50.75,4.25,5.9570093,-1.4788697,283.4633,281.04047,4.0200047
2023-04-01 12:00:00,17,50.75,4.25,5.9788275,-2.029553,283.54465,280.55615,2.8836985
2023-04-01 12:00:00,18,50.75,4.25,6.5096703,-1.2098618,282.9725,280.72638,2.884056
2023-04-01 12:00:00,19,50.75,4.25,6.5924835,-1.7485687,282.84305,280.50198,4.754167
2023-04-01 12:00:00,20,50.75,4.25,5.772788,-0.016369164,283.0171,281.4944,3.3720665
2023-04-01 12:00:00,21,50.75,4.25,6.199991,-1.3683186,283.49332,280.91406,3.6461258
2023-04-01 12:00:00,22,50.75,4.25,6.1305676,-1.4726512,283.1886,280.9519,2.6543627
2023-04-01 12:00:00,23,50.75,4.25,5.5236073,-1.752484,283.40594,280.86365,2.6930027
2023-04-01 12:00:00,24,50.75,4.25,5.751713,-1.9526278,282.976,281.02554,4.1119537
2023-04-01 12:00:00,25,50.75,4.25,6.3552027,-1.1458342,282.58615,280.95648,6.004962
2023-04-01 12:00:00,26,50.75,4.25,5.581377,-0.97517073,282.86633,280.93384,4.399966
2023-04-01 12:00:00,27,50.75,4.25,5.518648,-1.5214779,282.70233,280.9837,4.205692
2023-04-01 12:00:00,28,50.75,4.25,5.8761797,-1.4728816,283.59525,280.68454,3.0232325
2023-04-01 12:00:00,29,50.75,4.25,5.310625,-2.1718879,283.5915,280.9413,3.774568
2023-04-01 12:00:00,30,50.75,4.25,5.982299,-1.41323,282.7006,280.8728,2.8461323
2023-04-01 12:00:00,31,50.75,4.25,5.4311247,-0.6868163,282.59366,281.14276,4.4099836
2023-04-01 12:00:00,32,50.75,4.25,6.207926,-1.1679444,282.8303,281.025,4.663291
2023-04-01 12:00:00,33,50.75,4.25,5.642371,-1.4491591,283.3576,280.39566,3.1026592
2023-04-01 12:00:00,34,50.75,4.25,5.766838,-0.8574797,282.75443,280.9433,3.3720665
2023-04-01 12:00:00,35,50.75,4.25,6.177925,-1.4413284,282.97678,280.74615,3.9624023
2023-04-01 12:00:00,36,50.75,4.25,5.778243,-1.277344,283.60574,281.03015,3.1888838
2023-04-01 12:00:00,37,50.75,4.25,5.8999825,-1.4489288,282.89587,280.94846,2.315546
2023-04-01 12:00:00,38,50.75,4.25,5.659727,-0.72781235,282.96475,280.96796,2.9452362
2023-04-01 12:00:00,39,50.75,4.25,5.112024,-1.2149286,283.54416,281.14133,3.7230482
2023-04-01 12:00:00,40,50.75,4.25,5.8325424,-0.669773,282.20004,281.06625,7.7942147
2023-04-01 12:00:00,41,50.75,4.25,6.094865,-1.753866,282.77872,280.7,5.5269694
2023-04-01 12:00:00,42,50.75,4.25,5.846923,-2.0263286,283.0083,281.4534,6.3663187
2023-04-01 12:00:00,43,50.75,4.25,5.4936056,-1.7603147,283.05438,280.56046,4.22215
2023-04-01 12:00:00,44,50.75,4.25,5.9716377,-1.7248462,282.50903,280.81064,3.515894
2023-04-01 12:00:00,45,50.75,4.25,6.2929697,-1.72761,283.60925,280.60718,2.9588318
2023-04-01 12:00:00,46,50.75,4.25,6.071806,-1.0069542,282.70108,281.119,5.7369857
2023-04-01 12:00:00,47,50.75,4.25,6.168007,-1.0502534,282.19504,280.80118,5.072948
2023-04-01 12:00:00,48,50.75,4.25,5.540715,-0.8581706,282.73938,281.11667,3.1026592
2023-04-01 12:00:00,49,50.75,4.25,6.3172684,-1.1520526,283.43924,280.8307,2.4171553
2023-04-01 12:00:00,50,50.75,4.25,6.160569,-0.75591075,283.133,281.32645,3.5634785
2023-04-01 18:00:00,1,50.75,4.25,4.448284,-2.2617106,281.38977,280.39282,6.355228
2023-04-01 18:00:00,2,50.75,4.25,4.9404483,-2.222557,281.23102,279.89188,5.3992424
2023-04-01 18:00:00,3,50.75,4.25,5.507987,-2.1320434,280.83716,280.03918,5.7291145
2023-04-01 18:00:00,4,50.75,4.25,4.7735834,-1.6334112,281.42032,279.95636,5.089406
2023-04-01 18:00:00,5,50.75,4.25,4.173813,-2.2469704,281.67096,280.3183,2.904808
2023-04-01 18:00:00,6,50.75,4.25,5.1685543,-2.3273504,281.08957,279.75977,4.0736713
2023-04-01 18:00:00,7,50.75,4.25,4.734409,-1.8324033,281.38028,280.5788,6.5770507
2023-04-01 18:00:00,8,50.75,4.25,5.107313,-1.4703481,281.06577,280.1283,5.2711577
2023-04-01 18:00:00,9,50.75,4.25,4.9059844,-1.5818206,281.52072,279.9985,3.504445
2023-04-01 18:00:00,10,50.75,4.25,5.3369064,-1.0661452,280.97763,280.3051,5.5309052
2023-04-01 18:00:00,11,50.75,4.25,4.498864,-2.097496,281.64694,280.74728,4.3788567
2023-04-01 18:00:00,12,50.75,4.25,4.3736534,-1.9496337,281.6011,280.30542,4.4668703
2023-04-01 18:00:00,13,50.75,4.25,3.990584,-2.1322737,281.8227,280.06354,4.147016
2023-04-01 18:00:00,14,50.75,4.25,5.355998,-1.7976258,281.26007,280.44955,5.477238
2023-04-01 18:00:00,15,50.75,4.25,5.547905,-1.2621433,281.37177,279.1024,4.3391433
2023-04-01 18:00:00,16,50.75,4.25,4.504319,-1.7504112,281.7764,279.79358,4.6790333
2023-04-01 18:00:00,17,50.75,4.25,5.174505,-1.9484822,281.2921,279.99103,4.224654
2023-04-01 18:00:00,18,50.75,4.25,4.6706877,-1.9650648,281.4286,280.22974,3.6443367
2023-04-01 18:00:00,19,50.75,4.25,5.2471523,-1.1423795,281.07104,279.64716,6.0418134
2023-04-01 18:00:00,20,50.75,4.25,4.4956408,-1.605543,282.03604,279.883,3.884406
2023-04-01 18:00:00,21,50.75,4.25,4.900778,-1.2556944,281.40955,280.13748,5.440745
2023-04-01 18:00:00,22,50.75,4.25,5.2235975,-1.6820077,281.27484,279.94003,3.4736757
2023-04-01 18:00:00,23,50.75,4.25,4.5100217,-2.2036712,281.9722,279.7271,3.0808344
2023-04-01 18:00:00,24,50.75,4.25,4.589859,-2.0921988,281.1985,280.49942,7.4425178
2023-04-01 18:00:00,25,50.75,4.25,5.293021,-1.8084506,281.15793,280.49023,9.082934
2023-04-01 18:00:00,26,50.75,4.25,4.529361,-1.5194051,281.69376,280.2091,5.2196374
2023-04-01 18:00:00,27,50.75,4.25,4.9595394,-1.3657851,281.47064,279.87927,5.799955
2023-04-01 18:00:00,28,50.75,4.25,4.4529953,-2.3377147,281.6369,280.23605,4.074387
2023-04-01 18:00:00,29,50.75,4.25,4.9595394,-2.0502815,281.4401,279.39957,4.4568524
2023-04-01 18:00:00,30,50.75,4.25,4.864826,-0.8848872,281.19897,279.66205,3.7126722
2023-04-01 18:00:00,31,50.75,4.25,4.885901,-1.9533187,281.51697,279.4268,5.063646
2023-04-01 18:00:00,32,50.75,4.25,5.011359,-1.5085804,281.1807,280.3309,5.856484
2023-04-01 18:00:00,33,50.75,4.25,5.4817047,-1.3379169,281.25656,279.78842,4.128412
2023-04-01 18:00:00,34,50.75,4.25,5.560055,-1.4793303,280.79434,279.95178,5.5058603
2023-04-01 18:00:00,35,50.75,4.25,4.206293,-1.4560685,281.48642,280.5301,5.5162363
2023-04-01 18:00:00,36,50.75,4.25,4.747054,-1.5479643,281.6815,279.7976,4.2751007
2023-04-01 18:00:00,37,50.75,4.25,4.4805164,-1.5461217,281.72354,280.06326,2.7523937
2023-04-01 18:00:00,38,50.75,4.25,4.8286266,-1.626041,281.7859,279.85178,3.4518518
2023-04-01 18:00:00,39,50.75,4.25,4.021081,-1.626732,282.1144,279.22018,3.9327064
2023-04-01 18:00:00,40,50.75,4.25,5.102602,-1.0877948,281.15616,280.3564,9.537672
2023-04-01 18:00:00,41,50.75,4.25,4.8576355,-1.9892479,281.52975,280.01596,6.5012016
2023-04-01 18:00:00,42,50.75,4.25,4.331752,-1.9781928,281.2721,280.72952,7.793499
2023-04-01 18:00:00,43,50.75,4.25,4.3843155,-1.1677141,281.37552,279.73285,5.1591725
2023-04-01 18:00:00,44,50.75,4.25,4.759203,-1.3595665,281.34848,280.44067,5.7498655
2023-04-01 18:00:00,45,50.75,4.25,4.382084,-1.8757026,281.365,280.22488,4.0901294
2023-04-01 18:00:00,46,50.75,4.25,4.7237473,-1.5744505,281.31665,279.78357,6.3620257
2023-04-01 18:00:00,47,50.75,4.25,5.0659065,-1.4825548,281.2413,280.35498,6.8843827
2023-04-01 18:00:00,48,50.75,4.25,5.234507,-1.1260271,281.01443,279.93317,4.929121
2023-04-01 18:00:00,49,50.75,4.25,4.9744163,-1.8681022,281.41882,280.2673,3.4647312
2023-04-01 18:00:00,50,50.75,4.25,4.9721847,-0.87291086,281.2363,279.39038,4.0962114
2023-04-02 00:00:00,1,50.75,4.25,-0.5973277,-5.323519,280.36792,279.57236,8.270777
2023-04-02 00:00:00,2,50.75,4.25,1.6487753,-5.113241,280.6912,279.84402,7.625343
2023-04-02 00:00:00,3,50.75,4.25,1.4819107,-4.3550444,281.3342,281.0164,9.986684
2023-04-02 00:00:00,4,50.75,4.25,0.34137923,-4.6507688,280.6992,280.09134,7.671139
2023-04-02 00:00:00,5,50.75,4.25,0.9428856,-4.554958,280.65088,279.94806,3.6944256
2023-04-02 00:00:00,6,50.75,4.25,1.7417535,-4.650078,280.3792,279.76407,5.5706186
2023-04-02 00:00:00,7,50.75,4.25,-0.15574372,-5.593909,280.24423,279.3749,8.250383
2023-04-02 00:00:00,8,50.75,4.25,0.1841842,-5.355072,281.19247,280.45068,7.497616
2023-04-02 00:00:00,9,50.75,4.25,-0.2588874,-5.2106647,281.65018,280.80432,5.194593
2023-04-02 00:00:00,10,50.75,4.25,0.6513063,-5.328586,280.69794,279.98444,6.7155113
2023-04-02 00:00:00,11,50.75,4.25,-0.72402585,-4.9460325,280.41827,279.49414,6.9784784
2023-04-02 00:00:00,12,50.75,4.25,-1.2977629,-5.101956,280.58102,279.5334,7.518725
2023-04-02 00:00:00,13,50.75,4.25,-0.94295835,-5.3092394,280.68317,279.8512,6.390648
2023-04-02 00:00:00,14,50.75,4.25,-1.8226552,-5.9875174,280.64862,279.41705,6.8013783
2023-04-02 00:00:00,15,50.75,4.25,2.2351573,-4.3817606,280.77005,280.04263,5.5205293
2023-04-02 00:00:00,16,50.75,4.25,1.1709919,-4.515343,280.9844,280.32834,7.240731
2023-04-02 00:00:00,17,50.75,4.25,-0.14607394,-5.356684,280.75302,279.89044,6.709429
2023-04-02 00:00:00,18,50.75,4.25,0.7718059,-5.305324,280.70294,280.08017,5.3219624
2023-04-02 00:00:00,19,50.75,4.25,0.21294546,-5.516523,280.74603,280.03403,8.540542
2023-04-02 00:00:00,20,50.75,4.25,0.062940836,-5.042765,280.81787,279.66464,5.2815332
2023-04-02 00:00:00,21,50.75,4.25,0.64188445,-4.630962,280.51215,279.67984,7.5112114
2023-04-02 00:00:00,22,50.75,4.25,0.24666554,-4.6638966,281.4486,280.939,6.653973
2023-04-02 00:00:00,23,50.75,4.25,1.2109104,-4.4414124,280.74677,279.9724,4.593524
2023-04-02 00:00:00,24,50.75,4.25,0.94437325,-5.846104,280.07446,279.10324,9.481858
2023-04-02 00:00:00,25,50.75,4.25,0.028972745,-5.606116,280.83942,280.00937,11.786312
2023-04-02 00:00:00,26,50.75,4.25,0.20525932,-5.2081313,280.46658,279.68268,7.293324
2023-04-02 00:00:00,27,50.75,4.25,2.185321,-4.3889003,280.39572,279.72913,8.002441
2023-04-02 00:00:00,28,50.75,4.25,0.11302495,-4.9612336,280.54446,279.6145,6.0550513
2023-04-02 00:00:00,29,50.75,4.25,0.37708282,-4.8755565,281.07504,280.35498,6.3509345
2023-04-02 00:00:00,30,50.75,4.25,0.69345635,-5.278147,281.1877,280.43323,6.356659
2023-04-02 00:00:00,31,50.75,4.25,1.0911547,-4.609312,281.16092,280.63208,6.9541497
2023-04-02 00:00:00,32,50.75,4.25,0.27716237,-5.2652493,281.17395,280.63037,7.498689
2023-04-02 00:00:00,33,50.75,4.25,3.1054325,-3.951993,280.79434,280.32977,5.9917245
2023-04-02 00:00:00,34,50.75,4.25,1.1447101,-5.466084,280.5988,279.86725,7.641801
